ID,Area,Feature,User Story,Expected Behavior,Status,Errors / Notes,Test Method,Last Updated
1,Shell,Global error bar,"As a player, I want boot/runtime errors to appear on-screen so that a silent failure does not leave me staring at a blank app.",`window.addEventListener('error')` injects a fixed bottom bar (`#bootErrorBar`) with the stack; duplicate bars are suppressed.,pass,errorBar=true,puppeteer UI audit,2026-07-08
2,Shell,Window chrome (titlebar / menubar / toolbar / statusbar),"As a player, I want the app to feel like a native P2P client so that navigation and system state are always visible.","`index.html` renders a titlebar with app icon, window buttons, and subtitle; a menubar (File, Edit, View, Room, Wallet, Help); a top toolbar with brand, topnav, wallet chip, profile chip; and a bottom status bar with net/peers/room/version. `client-skin.css` re-dresses these as Winamp/mIRC dark or Napster/Win9x light.",pass,"titlebar=true, statusbar=true",puppeteer UI audit,2026-07-08
3,Shell,Dark / light mode toggle,"As a player, I want to switch between dark and light client themes so that the UI matches my preference.",`.mode-toggle` cycles `html[data-mode]` between `dark` and `light`; choice persists in `localStorage` under `us-mode`. `client-skin.css` swaps the full palette.,pass,data-mode=light,puppeteer UI audit,2026-07-08
4,Shell,LCD live ticker,"As a player, I want a scrolling live ticker so that I can see what matches/events are live without leaving the shell.","`.lcd-strip` shows a ""LIVE"" tag, animated EQ bars, and a marquee text node (`#shellTicker`) populated by `renderTicker()` in the lobby. In the shell it is rendered by `fit-loader.js` / lobby injection.",pass,lcdStrip=true,puppeteer UI audit,2026-07-08
5,Shell,Top navigation,"As a player, I want one-click access to Profile, Home, Bracket, Watch, and Games so that I can move between the main surfaces.","`.topnav` buttons set the active screen via `data-view`; `setView()` updates the hash (`#home`, `#bracket`, etc.), persists state, and renders the view. Active state is styled.",fixed,Profile button now uses data-view=profile and routes to #profile; alias maps to onboarding screen,manual,2026-07-08
6,Shell / Wallet,Wallet chip,"As a player, I want my balance visible everywhere so that I know if I can enter pools or games.",`#walletChip` shows formatted balance; clicking navigates to Profile/wallet; `flashWalletChip()` animates on change.,pass,wallet chip rendered,puppeteer UI audit,2026-07-08
7,Shell / Profile,Profile chip,"As a player, I want my avatar, name, and team visible in the header so that I can confirm my identity at a glance.","`#profileChip` renders `avatarSvg()` (retro monogram tile or uploaded photo), name, and team flag/name. Updates when state changes.",pass,hash=profile,puppeteer UI audit,2026-07-08
8,Shell / Onboarding,Team picker,"As a player, I want to choose my country/team during onboarding so that my avatar and kit use its colors.","`#teamGrid` renders all fit-supplied `teams`; selected team updates `state.team`, persists, re-renders avatar and kit card.",pass,teamGrid=true,puppeteer UI audit,2026-07-08
9,Shell / Onboarding,Username entry,"As a player, I want to set a display name so that other players see me as something other than ""captain"".",`#usernameInput` updates `state.username` on input; `#saveProfile` commits and routes to Home (or to Games if a `?join=` deep link is pending).,pass,usernameInput=true,puppeteer UI audit,2026-07-08
10,Shell / Onboarding,Avatar upload / examples,"As a player, I want to upload a photo or pick a preset avatar so that my profile feels personal.",`#avatarInput` downsamples an image to a ~256px JPEG data URL (max 60–90 KB); `#avatarExamples` shows 8 procedurally generated pixel identicons; `#avatarClearBtn` removes the photo. Fallback is a retro monogram tile.,pass,8 examples,puppeteer UI audit,2026-07-08
